"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.206804368743631,0.158316583389352,-9.95462368741493,2.40731893010122e-23,0.150981305235476,0.280929499489977
"insured_factorNo",1.35891612738487,0.0998268793189222,3.07219276948865,0.00212492450226276,1.11470247945226,1.64889431869177
"age_group2",1.02049319342253,0.127920074775561,0.158583658080868,0.873996904813347,0.797821030284944,1.31800849340214
"age_group3",0.872456952694789,0.130678851389129,-1.04410134124952,0.296438505406399,0.678191809582388,1.13256676197313
"age_group4",0.680092664543775,0.14363017711662,-2.68415890342566,0.00727125375453022,0.514610374593241,0.904191398769687
"sexFemale",1.08451836052571,0.0689013125732919,1.17756800351956,0.238968872009,0.94780812588477,1.24178780935589
"poverty2",0.809538371398106,0.0982966914152884,-2.14952408457636,0.0315928789964234,0.667246101595571,0.981076423200294
"poverty3",0.671127763254853,0.108088833203608,-3.68951852916339,0.000224678864506722,0.542114663597144,0.828345307088196
"poverty4",0.594305398541554,0.114196755110078,-4.5567140001763,5.19600973969386e-06,0.474166263452364,0.742096486548206
"poverty5",0.610229293891234,0.108252931331738,-4.56265243576415,5.05113949311732e-06,0.493127225382956,0.753915242665211
"race2",0.762133922118596,0.102820929110478,-2.6418063936593,0.00824651804358988,0.622182885241675,0.931219468452587
"race3",1.07921179927962,0.0932346922244258,0.817624399143592,0.413571691036952,0.8989690074524,1.29572747786126
"race4",0.60611921638388,0.121325408036862,-4.12674141102243,3.67939728652437e-05,0.476225336461482,0.766525208225851
"race5",1.26956618081209,0.177782448488948,1.34251302213602,0.179429710957839,0.885972902751998,1.78141853138161
