"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.208483670369739,0.243319346496205,-6.44377269196911,1.23046616075454e-10,0.129398122654514,0.335904725039083
"insured_factorNo",1.46805808344836,0.146801947187961,2.61536378192399,0.00892940311600232,1.10094832391285,1.95758010577495
"age_group25–44",0.962801535781013,0.184385634836169,-0.205590733728892,0.837115668023615,0.670755901602702,1.38200319234961
"age_group45–64",0.830798883890663,0.188951622057636,-0.981031696778583,0.326605760374556,0.573636119470611,1.20324847415633
"age_group65+",0.731436098647539,0.214665345251776,-1.45689756569863,0.145182560012637,0.480204489292202,1.11410613256301
"sexFemale",1.07916788497409,0.107040448126189,0.711789502232013,0.476615177901118,0.874908636704158,1.33111421593299
"poverty100–199% FPL",0.789435075884114,0.15006575106542,-1.57556058901883,0.115165290456271,0.588249482725362,1.05942760229696
"poverty200–399% FPL",0.633645296223959,0.17663695574206,-2.58307186549934,0.00980947436522062,0.44819870238539,0.895822230831689
"poverty400–599% FPL",0.634090334874159,0.177216302256657,-2.57066559264042,0.0101676327129827,0.448004421631445,0.897470054685286
"poverty600%+ FPL",0.557035497662433,0.179119628092887,-3.26667890739456,0.00109259781519584,0.392097152280709,0.791356284663588
"raceBlack",0.859661843511368,0.166019234902087,-0.910835255737373,0.362408685306934,0.620856412973639,1.19032109477581
"raceHispanic",1.08498608422461,0.14975131461502,0.544684108586509,0.585985458037527,0.80897852119781,1.45516200012091
"raceAsian/PI",0.754755058787062,0.199232113270076,-1.41223221096201,0.157919162468205,0.510733763018645,1.1153662436526
"raceOther",0.864817925867588,0.261349922324105,-0.555715812889487,0.578420152265164,0.518120430405086,1.44350618314196
